Using device: cuda

[Data Distribution] Real: 2786  Fake: 8358  Total: 11144
[Val set] 10786 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 360/1393 | Loss: 0.7253 (bce=0.4644 aux_ce=0.6521)
  Batch 370/1393 | Loss: 1.3755 (bce=1.0784 aux_ce=0.7428)
  Batch 380/1393 | Loss: 0.2715 (bce=0.0921 aux_ce=0.4484)
  Batch 390/1393 | Loss: 0.4161 (bce=0.0374 aux_ce=0.9466)
  Batch 400/1393 | Loss: 0.5429 (bce=0.3647 aux_ce=0.4454)
  Batch 410/1393 | Loss: 0.1178 (bce=0.0458 aux_ce=0.1801)
  Batch 420/1393 | Loss: 0.0903 (bce=0.0490 aux_ce=0.1034)
  Batch 430/1393 | Loss: 0.2905 (bce=0.2330 aux_ce=0.1436)
  Batch 440/1393 | Loss: 0.2507 (bce=0.1416 aux_ce=0.2726)
  Batch 450/1393 | Loss: 0.3147 (bce=0.2265 aux_ce=0.2205)
  Batch 460/1393 | Loss: 0.1810 (bce=0.1529 aux_ce=0.0703)
  Batch 470/1393 | Loss: 1.1884 (bce=0.8905 aux_ce=0.7449)
  Batch 480/1393 | Loss: 0.3881 (bce=0.2924 aux_ce=0.2394)
  Batch 490/1393 | Loss: 0.4951 (bce=0.2525 aux_ce=0.6065)
  Batch 500/1393 | Loss: 0.4581 (bce=0.2730 aux_ce=0.4627)
  Batch 510/1393 | Loss: 0.0749 (bce=0.0236 aux_ce=0.1281)
  Batch 520/1393 | Loss: 1.2385 (bce=0.8197 aux_ce=1.0468)
  Batch 530/1393 | Loss: 0.8881 (bce=0.4230 aux_ce=1.1630)
  Batch 540/1393 | Loss: 0.5803 (bce=0.4282 aux_ce=0.3802)
  Batch 550/1393 | Loss: 0.5236 (bce=0.4172 aux_ce=0.2661)
  Batch 560/1393 | Loss: 0.2756 (bce=0.0756 aux_ce=0.4999)
  Batch 570/1393 | Loss: 0.2947 (bce=0.1910 aux_ce=0.2590)
  Batch 580/1393 | Loss: 0.5460 (bce=0.3698 aux_ce=0.4407)
  Batch 590/1393 | Loss: 0.2408 (bce=0.1804 aux_ce=0.1509)
  Batch 600/1393 | Loss: 0.9761 (bce=0.7584 aux_ce=0.5443)
  Batch 610/1393 | Loss: 0.6294 (bce=0.4490 aux_ce=0.4510)
  Batch 620/1393 | Loss: 0.1150 (bce=0.0801 aux_ce=0.0873)
  Batch 630/1393 | Loss: 0.4372 (bce=0.2779 aux_ce=0.3984)
  Batch 640/1393 | Loss: 0.3643 (bce=0.2238 aux_ce=0.3514)
  Batch 650/1393 | Loss: 0.2435 (bce=0.1253 aux_ce=0.2954)
  Batch 660/1393 | Loss: 0.2344 (bce=0.0372 aux_ce=0.4930)
  Batch 670/1393 | Loss: 0.1385 (bce=0.0224 aux_ce=0.2902)
  Batch 680/1393 | Loss: 0.2747 (bce=0.2180 aux_ce=0.1416)
  Batch 690/1393 | Loss: 0.7675 (bce=0.6019 aux_ce=0.4141)
  Batch 700/1393 | Loss: 0.2357 (bce=0.1330 aux_ce=0.2569)
  Batch 710/1393 | Loss: 0.5232 (bce=0.4130 aux_ce=0.2754)
  Batch 720/1393 | Loss: 0.4778 (bce=0.2786 aux_ce=0.4981)
  Batch 730/1393 | Loss: 0.6667 (bce=0.4492 aux_ce=0.5436)
  Batch 740/1393 | Loss: 0.1928 (bce=0.0747 aux_ce=0.2953)
  Batch 750/1393 | Loss: 0.2198 (bce=0.1730 aux_ce=0.1168)
  Batch 760/1393 | Loss: 0.4778 (bce=0.2924 aux_ce=0.4636)
